Vmix	Field
-3.972104E-06	-1.398000E-01
-3.789962E-06	-1.396000E-01
-3.775951E-06	-1.394000E-01
-3.719907E-06	-1.392000E-01
-3.782957E-06	-1.390000E-01
-3.803973E-06	-1.388000E-01
-3.937077E-06	-1.386000E-01
-3.621831E-06	-1.384000E-01
-3.930072E-06	-1.382000E-01
-3.867022E-06	-1.380000E-01
-3.761940E-06	-1.378000E-01
-3.677874E-06	-1.376000E-01
-3.775951E-06	-1.374000E-01
-3.944083E-06	-1.372000E-01
-3.803973E-06	-1.370000E-01
-3.888039E-06	-1.368000E-01
-3.803973E-06	-1.366000E-01
-3.775951E-06	-1.364000E-01
-3.895044E-06	-1.362000E-01
-4.007132E-06	-1.360000E-01
-3.817984E-06	-1.358000E-01
-3.867022E-06	-1.356000E-01
-3.930072E-06	-1.354000E-01
-3.761940E-06	-1.352000E-01
-3.740924E-06	-1.350000E-01
-3.803973E-06	-1.348000E-01
-3.705896E-06	-1.346000E-01
-3.705896E-06	-1.344000E-01
-3.761940E-06	-1.342000E-01
-3.831995E-06	-1.340000E-01
-3.726913E-06	-1.338000E-01
-3.677874E-06	-1.336000E-01
-3.719907E-06	-1.334000E-01
-3.740924E-06	-1.332000E-01
-3.867022E-06	-1.330000E-01
-3.817984E-06	-1.328000E-01
-3.705896E-06	-1.326000E-01
-3.810978E-06	-1.324000E-01
-3.902050E-06	-1.322000E-01
-3.768946E-06	-1.320000E-01
-3.551776E-06	-1.318000E-01
-3.839000E-06	-1.316000E-01
-3.888039E-06	-1.314000E-01
-3.853011E-06	-1.312000E-01
-3.726913E-06	-1.310000E-01
-3.839000E-06	-1.308000E-01
-3.888039E-06	-1.306000E-01
-3.824989E-06	-1.304000E-01
-3.958093E-06	-1.302000E-01
-4.126225E-06	-1.300000E-01
-3.775951E-06	-1.298000E-01
-3.803973E-06	-1.296000E-01
-3.810978E-06	-1.294000E-01
-3.874028E-06	-1.292000E-01
-3.902050E-06	-1.290000E-01
-3.831995E-06	-1.288000E-01
-3.979110E-06	-1.286000E-01
-3.979110E-06	-1.284000E-01
-3.979110E-06	-1.282000E-01
-3.993121E-06	-1.280000E-01
-4.042159E-06	-1.278000E-01
-3.972104E-06	-1.276000E-01
-3.930072E-06	-1.274000E-01
-3.993121E-06	-1.272000E-01
-3.972104E-06	-1.270000E-01
-3.846006E-06	-1.268000E-01
-3.789962E-06	-1.266000E-01
-3.853011E-06	-1.264000E-01
-3.888039E-06	-1.262000E-01
-3.705896E-06	-1.260000E-01
-3.677874E-06	-1.258000E-01
-3.663864E-06	-1.256000E-01
-3.635842E-06	-1.254000E-01
-3.383644E-06	-1.252000E-01
-3.502738E-06	-1.250000E-01
-3.782957E-06	-1.248000E-01
-3.719907E-06	-1.246000E-01
-3.796968E-06	-1.244000E-01
-3.642847E-06	-1.242000E-01
-3.719907E-06	-1.240000E-01
-3.663864E-06	-1.238000E-01
-3.719907E-06	-1.236000E-01
-3.551776E-06	-1.234000E-01
-3.789962E-06	-1.232000E-01
-3.572792E-06	-1.230000E-01
-3.488727E-06	-1.228000E-01
-3.488727E-06	-1.226000E-01
-3.362628E-06	-1.224000E-01
-3.362628E-06	-1.222000E-01
-3.390650E-06	-1.220000E-01
-3.376639E-06	-1.218000E-01
-3.439688E-06	-1.216000E-01
-3.474716E-06	-1.214000E-01
-3.586803E-06	-1.212000E-01
-3.754935E-06	-1.210000E-01
-3.754935E-06	-1.208000E-01
-3.579798E-06	-1.206000E-01
-3.488727E-06	-1.204000E-01
-3.607820E-06	-1.202000E-01
-3.803973E-06	-1.200000E-01
-3.726913E-06	-1.198000E-01
-3.565787E-06	-1.196000E-01
-3.754935E-06	-1.194000E-01
-3.656858E-06	-1.192000E-01
-3.775951E-06	-1.190000E-01
-3.425677E-06	-1.188000E-01
-3.747929E-06	-1.186000E-01
-3.733918E-06	-1.184000E-01
-3.656858E-06	-1.182000E-01
-3.846006E-06	-1.180000E-01
-3.846006E-06	-1.178000E-01
-3.740924E-06	-1.176000E-01
-3.817984E-06	-1.174000E-01
-3.726913E-06	-1.172000E-01
-3.937077E-06	-1.170000E-01
-3.803973E-06	-1.168000E-01
-3.740924E-06	-1.166000E-01
-3.747929E-06	-1.164000E-01
-3.810978E-06	-1.162000E-01
-3.846006E-06	-1.160000E-01
-4.049165E-06	-1.158000E-01
-3.768946E-06	-1.156000E-01
-3.846006E-06	-1.154000E-01
-3.986115E-06	-1.152000E-01
-3.642847E-06	-1.150000E-01
-3.593809E-06	-1.148000E-01
-3.831995E-06	-1.146000E-01
-3.909055E-06	-1.144000E-01
-3.698891E-06	-1.142000E-01
-3.768946E-06	-1.140000E-01
-3.803973E-06	-1.138000E-01
-3.593809E-06	-1.136000E-01
-3.614825E-06	-1.134000E-01
-3.481721E-06	-1.132000E-01
-3.481721E-06	-1.130000E-01
-3.495732E-06	-1.128000E-01
-3.698891E-06	-1.126000E-01
-3.572792E-06	-1.124000E-01
-3.607820E-06	-1.122000E-01
-3.712902E-06	-1.120000E-01
-3.677874E-06	-1.118000E-01
-3.572792E-06	-1.116000E-01
-3.334606E-06	-1.114000E-01
-3.369634E-06	-1.112000E-01
-3.404661E-06	-1.110000E-01
-3.467710E-06	-1.108000E-01
-3.418672E-06	-1.106000E-01
-3.348617E-06	-1.104000E-01
-3.390650E-06	-1.102000E-01
-3.362628E-06	-1.100000E-01
-3.383644E-06	-1.098000E-01
-3.411666E-06	-1.096000E-01
-3.439688E-06	-1.094000E-01
-3.488727E-06	-1.092000E-01
-3.621831E-06	-1.090000E-01
-3.446694E-06	-1.088000E-01
-3.586803E-06	-1.086000E-01
-3.481721E-06	-1.084000E-01
-3.432683E-06	-1.082000E-01
-3.334606E-06	-1.080000E-01
-3.439688E-06	-1.078000E-01
-3.418672E-06	-1.076000E-01
-3.376639E-06	-1.074000E-01
-3.551776E-06	-1.072000E-01
-3.425677E-06	-1.070000E-01
-3.481721E-06	-1.068000E-01
-3.362628E-06	-1.066000E-01
-3.292573E-06	-1.064000E-01
-3.348617E-06	-1.062000E-01
-2.991338E-06	-1.060000E-01
-3.138453E-06	-1.058000E-01
-3.285568E-06	-1.056000E-01
-3.467710E-06	-1.054000E-01
-3.369634E-06	-1.052000E-01
-3.649853E-06	-1.050000E-01
-3.425677E-06	-1.048000E-01
-3.467710E-06	-1.046000E-01
-3.425677E-06	-1.044000E-01
-3.530759E-06	-1.042000E-01
-3.369634E-06	-1.040000E-01
-3.544770E-06	-1.038000E-01
-3.747929E-06	-1.036000E-01
-3.607820E-06	-1.034000E-01
-3.530759E-06	-1.032000E-01
-3.467710E-06	-1.030000E-01
-3.404661E-06	-1.028000E-01
-3.439688E-06	-1.026000E-01
-3.222519E-06	-1.024000E-01
-3.509743E-06	-1.022000E-01
-3.621831E-06	-1.020000E-01
-3.334606E-06	-1.018000E-01
-3.467710E-06	-1.016000E-01
-3.474716E-06	-1.014000E-01
-3.488727E-06	-1.012000E-01
-3.523754E-06	-1.010000E-01
-3.320595E-06	-1.008000E-01
-3.481721E-06	-1.006000E-01
-3.635842E-06	-1.004000E-01
-3.551776E-06	-1.002000E-01
-3.600814E-06	-1.000000E-01
-3.593809E-06	-9.980000E-02
