Vmix	Field
-4.140236E-06	-1.044000E-01
-4.161252E-06	-1.042000E-01
-4.161252E-06	-1.040000E-01
-4.399438E-06	-1.038000E-01
-4.434466E-06	-1.036000E-01
-4.238312E-06	-1.034000E-01
-4.336389E-06	-1.032000E-01
-4.273340E-06	-1.030000E-01
-4.224302E-06	-1.028000E-01
-4.455482E-06	-1.026000E-01
-4.119219E-06	-1.024000E-01
-4.196280E-06	-1.022000E-01
-3.860017E-06	-1.020000E-01
-4.231307E-06	-1.018000E-01
-4.245318E-06	-1.016000E-01
-4.329384E-06	-1.014000E-01
-4.266334E-06	-1.012000E-01
-4.378422E-06	-1.010000E-01
-4.448477E-06	-1.008000E-01
-4.420455E-06	-1.006000E-01
-4.371416E-06	-1.004000E-01
-4.154247E-06	-1.002000E-01
-3.979110E-06	-1.000000E-01
-4.133230E-06	-9.980000E-02
-3.986115E-06	-9.960000E-02
-4.091197E-06	-9.940000E-02
-4.063176E-06	-9.920000E-02
-4.175263E-06	-9.900000E-02
-4.217296E-06	-9.880000E-02
-4.056170E-06	-9.860000E-02
-4.161252E-06	-9.840000E-02
-4.056170E-06	-9.820000E-02
-4.224302E-06	-9.800000E-02
-4.364411E-06	-9.780000E-02
-4.511526E-06	-9.760000E-02
-4.196280E-06	-9.740000E-02
-4.182269E-06	-9.720000E-02
-3.993121E-06	-9.700000E-02
-3.951088E-06	-9.680000E-02
-4.070181E-06	-9.660000E-02
-4.259329E-06	-9.640000E-02
-4.210291E-06	-9.620000E-02
-4.161252E-06	-9.600000E-02
-4.133230E-06	-9.580000E-02
-3.930072E-06	-9.560000E-02
-3.986115E-06	-9.540000E-02
-4.014137E-06	-9.520000E-02
-4.056170E-06	-9.500000E-02
-3.944083E-06	-9.480000E-02
-3.958093E-06	-9.460000E-02
-4.161252E-06	-9.440000E-02
-4.035154E-06	-9.420000E-02
-4.189274E-06	-9.400000E-02
-3.958093E-06	-9.380000E-02
-3.965099E-06	-9.360000E-02
-3.972104E-06	-9.340000E-02
-4.042159E-06	-9.320000E-02
-4.098203E-06	-9.300000E-02
-3.867022E-06	-9.280000E-02
-3.972104E-06	-9.260000E-02
-3.972104E-06	-9.240000E-02
-3.888039E-06	-9.220000E-02
-4.014137E-06	-9.200000E-02
-4.028148E-06	-9.180000E-02
-4.070181E-06	-9.160000E-02
-3.972104E-06	-9.140000E-02
-3.993121E-06	-9.120000E-02
-4.126225E-06	-9.100000E-02
-3.979110E-06	-9.080000E-02
-3.895044E-06	-9.060000E-02
-3.902050E-06	-9.040000E-02
-3.867022E-06	-9.020000E-02
-3.846006E-06	-9.000000E-02
-4.098203E-06	-8.980000E-02
-4.070181E-06	-8.960000E-02
-4.014137E-06	-8.940000E-02
-4.014137E-06	-8.920000E-02
-3.923066E-06	-8.900000E-02
-4.056170E-06	-8.880000E-02
-4.140236E-06	-8.860000E-02
-3.930072E-06	-8.840000E-02
-3.846006E-06	-8.820000E-02
-3.895044E-06	-8.800000E-02
-3.923066E-06	-8.780000E-02
-3.733918E-06	-8.760000E-02
-3.993121E-06	-8.740000E-02
-3.972104E-06	-8.720000E-02
-3.846006E-06	-8.700000E-02
-3.958093E-06	-8.680000E-02
-4.000126E-06	-8.660000E-02
-3.839000E-06	-8.640000E-02
-4.007132E-06	-8.620000E-02
-4.021143E-06	-8.600000E-02
-4.070181E-06	-8.580000E-02
-3.958093E-06	-8.560000E-02
-3.937077E-06	-8.540000E-02
-3.986115E-06	-8.520000E-02
-4.280345E-06	-8.500000E-02
-4.056170E-06	-8.480000E-02
-3.888039E-06	-8.460000E-02
-3.902050E-06	-8.440000E-02
-3.930072E-06	-8.420000E-02
-3.846006E-06	-8.400000E-02
-3.951088E-06	-8.380000E-02
-3.944083E-06	-8.360000E-02
-3.853011E-06	-8.340000E-02
-3.986115E-06	-8.320000E-02
-4.063176E-06	-8.300000E-02
-4.119219E-06	-8.280000E-02
-3.979110E-06	-8.260000E-02
-3.972104E-06	-8.240000E-02
-3.993121E-06	-8.220000E-02
-3.867022E-06	-8.200000E-02
-3.979110E-06	-8.180000E-02
-4.147241E-06	-8.160000E-02
-3.930072E-06	-8.140000E-02
-3.909055E-06	-8.120000E-02
-4.105208E-06	-8.100000E-02
-4.441471E-06	-8.080000E-02
-4.581581E-06	-8.060000E-02
-4.441471E-06	-8.040000E-02
-4.511526E-06	-8.020000E-02
-4.714685E-06	-8.000000E-02
-4.728696E-06	-7.980000E-02
-4.637625E-06	-7.960000E-02
-4.371416E-06	-7.940000E-02
-4.280345E-06	-7.920000E-02
-4.343395E-06	-7.900000E-02
-4.469493E-06	-7.880000E-02
-4.322378E-06	-7.860000E-02
-4.266334E-06	-7.840000E-02
-4.322378E-06	-7.820000E-02
-4.364411E-06	-7.800000E-02
-4.308367E-06	-7.780000E-02
-4.434466E-06	-7.760000E-02
-4.392433E-06	-7.740000E-02
-4.231307E-06	-7.720000E-02
-4.084192E-06	-7.700000E-02
-4.336389E-06	-7.680000E-02
-4.490510E-06	-7.660000E-02
-4.392433E-06	-7.640000E-02
-4.308367E-06	-7.620000E-02
-4.266334E-06	-7.600000E-02
-4.119219E-06	-7.580000E-02
-4.119219E-06	-7.560000E-02
-4.112214E-06	-7.540000E-02
-4.168258E-06	-7.520000E-02
-4.294356E-06	-7.500000E-02
-4.329384E-06	-7.480000E-02
-4.175263E-06	-7.460000E-02
-4.182269E-06	-7.440000E-02
-4.217296E-06	-7.420000E-02
-4.343395E-06	-7.400000E-02
-4.385427E-06	-7.380000E-02
-4.371416E-06	-7.360000E-02
-4.357406E-06	-7.340000E-02
-4.406444E-06	-7.320000E-02
-4.322378E-06	-7.300000E-02
-4.280345E-06	-7.280000E-02
-4.532542E-06	-7.260000E-02
-4.392433E-06	-7.240000E-02
-4.224302E-06	-7.220000E-02
-4.245318E-06	-7.200000E-02
-4.014137E-06	-7.180000E-02
-4.189274E-06	-7.160000E-02
-4.140236E-06	-7.140000E-02
-4.000126E-06	-7.120000E-02
-4.091197E-06	-7.100000E-02
-4.329384E-06	-7.080000E-02
-4.350400E-06	-7.060000E-02
-4.140236E-06	-7.040000E-02
-4.112214E-06	-7.020000E-02
-4.063176E-06	-7.000000E-02
-4.021143E-06	-6.980000E-02
-4.098203E-06	-6.960000E-02
-4.007132E-06	-6.940000E-02
-4.161252E-06	-6.920000E-02
-4.077187E-06	-6.900000E-02
-4.154247E-06	-6.880000E-02
-3.965099E-06	-6.860000E-02
-3.874028E-06	-6.840000E-02
-4.168258E-06	-6.820000E-02
-3.993121E-06	-6.800000E-02
-3.754935E-06	-6.780000E-02
-3.831995E-06	-6.760000E-02
-3.930072E-06	-6.740000E-02
-3.986115E-06	-6.720000E-02
-3.972104E-06	-6.700000E-02
-4.035154E-06	-6.680000E-02
-4.014137E-06	-6.660000E-02
-3.993121E-06	-6.640000E-02
-3.944083E-06	-6.620000E-02
-3.733918E-06	-6.600000E-02
-3.888039E-06	-6.580000E-02
-4.007132E-06	-6.560000E-02
-3.789962E-06	-6.540000E-02
-3.930072E-06	-6.520000E-02
-3.909055E-06	-6.500000E-02
-3.867022E-06	-6.480000E-02
-3.768946E-06	-6.460000E-02
-3.803973E-06	-6.440000E-02
-3.860017E-06	-6.420000E-02
-3.930072E-06	-6.400000E-02
-4.161252E-06	-6.380000E-02
-4.301362E-06	-6.360000E-02
-3.824989E-06	-6.340000E-02
-3.516749E-06	-6.320000E-02
-3.656858E-06	-6.300000E-02
-3.600814E-06	-6.280000E-02
-3.509743E-06	-6.260000E-02
-3.551776E-06	-6.240000E-02
-3.453699E-06	-6.220000E-02
-3.509743E-06	-6.200000E-02
-3.656858E-06	-6.180000E-02
-3.614825E-06	-6.160000E-02
-3.740924E-06	-6.140000E-02
-3.565787E-06	-6.120000E-02
-3.264551E-06	-6.100000E-02
-3.292573E-06	-6.080000E-02
-3.320595E-06	-6.060000E-02
-3.446694E-06	-6.040000E-02
-3.376639E-06	-6.020000E-02
-3.341612E-06	-6.000000E-02
-3.390650E-06	-5.980000E-02
-3.383644E-06	-5.960000E-02
-3.285568E-06	-5.940000E-02
-3.145458E-06	-5.920000E-02
-3.019360E-06	-5.900000E-02
-2.921283E-06	-5.880000E-02
-2.942300E-06	-5.860000E-02
-2.844223E-06	-5.840000E-02
-2.830212E-06	-5.820000E-02
-2.816201E-06	-5.800000E-02
-2.725130E-06	-5.780000E-02
-2.739141E-06	-5.760000E-02
-2.683097E-06	-5.740000E-02
-2.437905E-06	-5.720000E-02
-2.556998E-06	-5.700000E-02
-2.578015E-06	-5.680000E-02
-2.479938E-06	-5.660000E-02
-2.318812E-06	-5.640000E-02
-2.269774E-06	-5.620000E-02
-2.080626E-06	-5.600000E-02
-1.751369E-06	-5.580000E-02
-1.646287E-06	-5.560000E-02
-1.681314E-06	-5.540000E-02
-1.618265E-06	-5.520000E-02
-1.597248E-06	-5.500000E-02
-1.429117E-06	-5.480000E-02
-1.429117E-06	-5.460000E-02
-1.387084E-06	-5.440000E-02
-1.394090E-06	-5.420000E-02
-1.078843E-06	-5.400000E-02
-9.247227E-07	-5.380000E-02
-8.056296E-07	-5.360000E-02
-7.355749E-07	-5.340000E-02
-6.304928E-07	-5.320000E-02
-5.184052E-07	-5.300000E-02
-2.241752E-07	-5.280000E-02
-3.502738E-08	-5.260000E-02
4.203285E-07	-5.240000E-02
7.075530E-07	-5.220000E-02
8.056296E-07	-5.200000E-02
9.597501E-07	-5.180000E-02
1.289007E-06	-5.160000E-02
1.478155E-06	-5.140000E-02
1.625270E-06	-5.120000E-02
1.926506E-06	-5.100000E-02
2.283785E-06	-5.080000E-02
2.528977E-06	-5.060000E-02
3.306584E-06	-5.040000E-02
4.154247E-06	-5.020000E-02
4.616608E-06	-5.000000E-02
5.057953E-06	-4.980000E-02
5.394216E-06	-4.960000E-02
5.870588E-06	-4.940000E-02
6.711245E-06	-4.920000E-02
7.229650E-06	-4.900000E-02
7.685006E-06	-4.880000E-02
7.979236E-06	-4.860000E-02
8.098329E-06	-4.840000E-02
8.161379E-06	-4.820000E-02
8.112340E-06	-4.800000E-02
7.839127E-06	-4.780000E-02
7.572919E-06	-4.760000E-02
7.005475E-06	-4.740000E-02
6.311933E-06	-4.720000E-02
5.478282E-06	-4.700000E-02
4.497515E-06	-4.680000E-02
3.621831E-06	-4.660000E-02
2.837217E-06	-4.640000E-02
1.954528E-06	-4.620000E-02
1.029805E-06	-4.600000E-02
2.381862E-07	-4.580000E-02
-4.903833E-07	-4.560000E-02
-1.190931E-06	-4.540000E-02
-1.884473E-06	-4.520000E-02
-2.360845E-06	-4.500000E-02
-2.837217E-06	-4.480000E-02
-3.362628E-06	-4.460000E-02
-3.958093E-06	-4.440000E-02
-4.161252E-06	-4.420000E-02
-4.091197E-06	-4.400000E-02
-4.161252E-06	-4.380000E-02
-4.581581E-06	-4.360000E-02
-5.036937E-06	-4.340000E-02
-5.289134E-06	-4.320000E-02
-5.429243E-06	-4.300000E-02
-5.604380E-06	-4.280000E-02
-5.541331E-06	-4.260000E-02
-5.569353E-06	-4.240000E-02
-5.625397E-06	-4.220000E-02
-5.821550E-06	-4.200000E-02
-6.017703E-06	-4.180000E-02
-6.157813E-06	-4.160000E-02
-6.185835E-06	-4.140000E-02
-6.157813E-06	-4.120000E-02
-6.220862E-06	-4.100000E-02
-6.143802E-06	-4.080000E-02
-6.199846E-06	-4.060000E-02
-6.283911E-06	-4.040000E-02
-6.325944E-06	-4.020000E-02
-6.290917E-06	-4.000000E-02
-6.290917E-06	-3.980000E-02
-6.220862E-06	-3.960000E-02
-6.262895E-06	-3.940000E-02
-6.487070E-06	-3.920000E-02
